day,time,SZA,global,direct,diffuse
120,4,89.193,2.7,22.3,2.3
120,5,86.347,33.8,186.6,21.9
120,6,83.482,77.9,325.7,40.9
120,7,80.790,123.7,427.6,55.3
120,8,78.452,165.3,498.6,65.5
120,9,76.633,198.3,545.1,72.3
120,10,75.468,219.6,571.7,76.2
120,11,75.046,227.4,580.7,77.5
120,12,75.399,220.9,573.2,76.4
