Wavelength Global Direct Diffuse
487 0.74679 0.96159 0.26600
488 0.80829 1.04331 0.28664
489 0.75259 0.97375 0.26571
490 0.85473 1.10854 0.30046
491 0.79869 1.03831 0.27953
492 0.76690 0.99932 0.26724
493 0.82440 1.07673 0.28603
494 0.79662 1.04284 0.27520
495 0.85422 1.12079 0.29382
496 0.82992 1.09137 0.28424
497 0.80561 1.06177 0.27473
498 0.78533 1.03733 0.26666
499 0.78132 1.03430 0.26417
500 0.77730 1.03122 0.26169
501 0.76082 1.01152 0.25506
502 0.75642 1.00782 0.25251
503 0.80093 1.06938 0.26624
504 0.74367 0.99502 0.24616
505 0.80032 1.07304 0.26380
506 0.85818 1.15298 0.28169
507 0.79807 1.07442 0.26086
508 0.76216 1.02815 0.24809
509 0.82422 1.11410 0.26717
510 0.79654 1.07882 0.25713
511 0.79716 1.08179 0.25626
512 0.83855 1.14019 0.26846
513 0.76538 1.04271 0.24403
514 0.74946 1.02298 0.23797
515 0.76231 1.04251 0.24106
516 0.80350 1.10091 0.25305
517 0.59057 0.81068 0.18523
518 0.73031 1.00435 0.22813
519 0.69366 0.95570 0.21580
520 0.76361 1.05400 0.23661
521 0.76341 1.05563 0.23559
522 0.79192 1.09702 0.24341
523 0.73838 1.02466 0.22604
524 0.79968 1.11169 0.24383
525 0.79125 1.10189 0.24030
526 0.75376 1.05151 0.22801
527 0.65913 0.92107 0.19859
528 0.78951 1.10515 0.23693
529 0.80931 1.13478 0.24192
530 0.76373 1.07267 0.22740
531 0.83329 1.17231 0.24713
532 0.79256 1.11685 0.23413
533 0.69869 0.98618 0.20560
534 0.75587 1.06863 0.22156
535 0.77231 1.09363 0.22550
536 0.81776 1.15983 0.23784
537 0.76109 1.08117 0.22051
538 0.79430 1.13011 0.22924
539 0.79067 1.12670 0.22732
540 0.77473 1.10569 0.22188
541 0.70909 1.01357 0.20231
542 0.79114 1.13256 0.22486
543 0.75828 1.08717 0.21470
544 0.79920 1.14755 0.22543
545 0.78683 1.13146 0.22110
546 0.76651 1.10387 0.21458
547 0.79935 1.15284 0.22293
548 0.74212 1.07185 0.20619
549 0.77905 1.12682 0.21564
550 0.76280 1.10490 0.21035
551 0.75873 1.10055 0.20845
552 0.79156 1.14979 0.21666
553 0.75877 1.10370 0.20692
554 0.78749 1.14707 0.21396
555 0.78750 1.14866 0.21317
556 0.76700 1.12028 0.20686
557 0.74251 1.08598 0.19952
558 0.77123 1.12950 0.20648
559 0.73015 1.07077 0.19477
560 0.73431 1.07829 0.19517
561 0.80687 1.18639 0.21367
562 0.74013 1.08969 0.19529
563 0.77168 1.13760 0.20288
564 0.76195 1.12470 0.19960
565 0.76778 1.13476 0.20040
566 0.70467 1.04280 0.18327
567 0.75487 1.11849 0.19563
568 0.75181 1.11534 0.19414
569 0.74086 1.10045 0.19063
570 0.74336 1.10553 0.19059
571 0.71117 1.05894 0.18169
572 0.75910 1.13168 0.19326
573 0.76388 1.14018 0.19379
574 0.76106 1.13733 0.19239
575 0.74621 1.11646 0.18798
576 0.73198 1.09645 0.18375
577 0.76674 1.14987 0.19181
578 0.74490 1.11841 0.18569
579 0.73892 1.11071 0.18356
580 0.76522 1.15156 0.18944
581 0.75031 1.13040 0.18511
582 0.76361 1.15174 0.18774
583 0.76813 1.15985 0.18820
584 0.76323 1.15374 0.18636
585 0.75600 1.14407 0.18397
586 0.71753 1.08704 0.17401
587 0.73785 1.11905 0.17833
588 0.72863 1.10626 0.17550
589 0.64630 0.98231 0.15514
590 0.67268 1.02350 0.16093
591 0.70451 1.07307 0.16798
592 0.69220 1.05541 0.16449
593 0.69381 1.05899 0.16432
594 0.70356 1.07497 0.16607
595 0.69749 1.06680 0.16409
596 0.70891 1.08538 0.16622
597 0.71710 1.09903 0.16758
598 0.70648 1.08385 0.16455
599 0.71232 1.09390 0.16537
600 0.71438 1.09816 0.16530
601 0.71613 1.10195 0.16516
602 0.71312 1.09840 0.16393
603 0.72110 1.11177 0.16522
604 0.74464 1.14917 0.17005
605 0.74271 1.14730 0.16906
606 0.73607 1.13814 0.16700
607 0.73324 1.13483 0.16582
608 0.73020 1.13120 0.16460
609 0.72288 1.12091 0.16242
610 0.71549 1.11048 0.16025
611 0.72483 1.12602 0.16182
612 0.71750 1.11566 0.15967
613 0.70597 1.09873 0.15660
614 0.68185 1.06216 0.15077
615 0.71631 1.11685 0.15788
616 0.67955 1.06048 0.14930
617 0.68469 1.06946 0.14996
618 0.71928 1.12449 0.15704
619 0.71185 1.11384 0.15492
620 0.72548 1.13616 0.15739
621 0.73914 1.15857 0.15986
622 0.69774 1.09463 0.15043
623 0.70684 1.10985 0.15192
624 0.70716 1.11130 0.15151
625 0.68593 1.07886 0.14651
626 0.67939 1.06947 0.14466
627 0.69565 1.09598 0.14766
628 0.69693 1.09891 0.14748
629 0.70542 1.11321 0.14881
630 0.68428 1.08074 0.14391
631 0.70856 1.12000 0.14856
632 0.66558 1.05292 0.13912
633 0.71053 1.12493 0.14806
634 0.69153 1.09573 0.14367
635 0.70564 1.11897 0.14615
636 0.67731 1.07489 0.13986
637 0.70025 1.11218 0.14416
638 0.71442 1.13558 0.14663
639 0.70713 1.12486 0.14470
640 0.68677 1.09332 0.14011
641 0.69594 1.10877 0.14156
642 0.68715 1.09560 0.13935
643 0.69394 1.10726 0.14031
644 0.68605 1.09550 0.13830
645 0.68514 1.09487 0.13770
646 0.65872 1.05344 0.13200
647 0.66675 1.06706 0.13322
648 0.66739 1.06888 0.13295
649 0.67559 1.08280 0.13419
650 0.61966 0.99389 0.12272
651 0.67238 1.07922 0.13277
652 0.66638 1.07037 0.13120
