Wavelength Global Direct Diffuse
300 0.00924 0.00297 0.00667
301 0.02137 0.00698 0.01532
302 0.02059 0.00684 0.01467
303 0.04604 0.01555 0.03257
304 0.04885 0.01677 0.03433
305 0.07933 0.02767 0.05537
306 0.08015 0.02839 0.05556
307 0.10879 0.03913 0.07491
308 0.13441 0.04907 0.09192
309 0.14060 0.05209 0.09550
310 0.13888 0.05219 0.09368
311 0.25887 0.09867 0.17342
312 0.21073 0.08144 0.14019
313 0.26024 0.10196 0.17194
314 0.26549 0.10542 0.17420
315 0.30136 0.12124 0.19636
316 0.23316 0.09502 0.15087
317 0.33265 0.13730 0.21375
318 0.31715 0.13254 0.20237
319 0.34198 0.14468 0.21669
320 0.34881 0.14935 0.21947
321 0.40123 0.17384 0.25068
322 0.36474 0.15987 0.22629
323 0.31072 0.13776 0.19142
324 0.38593 0.17303 0.23608
325 0.44065 0.19975 0.26766
326 0.59411 0.27225 0.35833
327 0.59694 0.27647 0.35751
328 0.51093 0.23913 0.30384
329 0.58787 0.27799 0.34713
330 0.61628 0.29439 0.36134
331 0.51091 0.24650 0.29744
332 0.55772 0.27172 0.32240
333 0.63217 0.31098 0.36285
334 0.53980 0.26807 0.30765
335 0.57638 0.28891 0.32617
336 0.43377 0.21943 0.24374
337 0.41988 0.21432 0.23427
338 0.51505 0.26525 0.28534
339 0.51911 0.26968 0.28556
340 0.59047 0.30940 0.32252
341 0.50069 0.26458 0.27155
342 0.52751 0.28108 0.28408
343 0.53353 0.28663 0.28530
344 0.48543 0.26290 0.25776
345 0.62356 0.34039 0.32877
346 0.69468 0.38219 0.36370
347 0.66498 0.36867 0.34570
348 0.63002 0.35194 0.32523
349 0.69491 0.39109 0.35621
350 0.71566 0.40574 0.36428
351 0.67845 0.38743 0.34293
352 0.70546 0.40573 0.35409
353 0.64417 0.37308 0.32107
354 0.74717 0.43573 0.36981
355 0.76180 0.44729 0.37443
356 0.72556 0.42888 0.35414
357 0.46515 0.27676 0.22546
358 0.50853 0.30455 0.24478
359 0.51427 0.30997 0.24583
360 0.76494 0.46397 0.36314
361 0.60957 0.37203 0.28738
362 0.67174 0.41249 0.31451
363 0.71865 0.44397 0.33416
364 0.71384 0.44362 0.32965
365 0.67647 0.42287 0.31025
366 0.93227 0.58614 0.42465
367 0.83637 0.52885 0.37837
368 0.79240 0.50387 0.35604
369 0.76135 0.48680 0.33976
370 0.88142 0.56665 0.39068
371 0.70534 0.45590 0.31052
372 0.74649 0.48506 0.32642
373 0.74808 0.48863 0.32491
374 0.58181 0.38199 0.25100
375 0.53449 0.35271 0.22903
376 0.76608 0.50807 0.32608
377 0.78766 0.52497 0.33303
378 1.02335 0.68538 0.42979
379 0.79083 0.53220 0.32993
380 0.74537 0.50399 0.30891
381 0.83430 0.56676 0.34347
382 0.62424 0.42602 0.25530
383 0.43497 0.29820 0.17672
384 0.47909 0.32993 0.19337
385 0.71863 0.49708 0.28815
386 0.56035 0.38929 0.22322
387 0.64304 0.44866 0.25448
388 0.63739 0.44661 0.25061
389 0.72389 0.50936 0.28278
390 0.88253 0.62356 0.34252
391 0.98004 0.69528 0.37791
392 0.87190 0.62106 0.33405
393 0.46765 0.33444 0.17802
394 0.51667 0.37095 0.19542
395 0.86948 0.62667 0.32677
396 0.89167 0.64513 0.33298
397 0.36211 0.26298 0.13436
398 1.01251 0.73807 0.37332
399 1.21560 0.88937 0.44538
400 1.18972 0.87361 0.43316
401 1.18465 0.87301 0.42860
402 1.24933 0.92394 0.44918
403 1.16740 0.86637 0.41710
404 1.25322 0.93328 0.44498
405 1.14996 0.85930 0.40578
406 1.13766 0.85298 0.39896
407 1.10420 0.83065 0.38484
408 1.19741 0.90373 0.41476
409 1.31909 0.99880 0.45411
410 1.10202 0.83711 0.37706
411 1.29455 0.98647 0.44024
412 1.33174 1.01799 0.45013
413 1.25552 0.96270 0.42180
414 1.23590 0.95055 0.41270
415 1.31578 1.01504 0.43673
416 1.30326 1.00837 0.42998
417 1.26215 0.97945 0.41393
418 1.22807 0.95577 0.40035
419 1.25821 0.98205 0.40773
420 1.06653 0.83480 0.34357
421 1.33300 1.04631 0.42687
422 1.27004 0.99965 0.40431
423 1.07041 0.84483 0.33876
424 1.17957 0.93351 0.37112
425 1.21696 0.96568 0.38065
426 1.16797 0.92927 0.36320
427 1.11885 0.89251 0.34591
428 1.13464 0.90745 0.34876
429 1.02745 0.82382 0.31399
430 0.81857 0.65801 0.24872
431 0.73971 0.59610 0.22347
432 1.32132 1.06743 0.39690
433 1.17740 0.95348 0.35166
434 1.12046 0.90957 0.33275
435 1.21634 0.98976 0.35919
436 1.34150 1.09418 0.39391
437 1.35742 1.10975 0.39635
438 1.21264 0.99368 0.35209
439 1.16995 0.96088 0.33780
440 1.31012 1.07844 0.37617
441 1.30408 1.07587 0.37235
442 1.37134 1.13386 0.38939
443 1.38000 1.14351 0.38969
444 1.36662 1.13488 0.38379
445 1.44145 1.19957 0.40259
446 1.28089 1.06821 0.35579
447 1.45896 1.21926 0.40305
448 1.47510 1.23530 0.40530
449 1.48388 1.24520 0.40551
450 1.51482 1.27374 0.41173
451 1.63451 1.37713 0.44187
452 1.51753 1.28111 0.40805
453 1.40772 1.19074 0.37651
454 1.49794 1.26952 0.39850
455 1.50665 1.27935 0.39869
456 1.54468 1.31414 0.40660
457 1.55301 1.32371 0.40664
458 1.52417 1.30156 0.39699
459 1.51760 1.29834 0.39321
